标的,名称,信号日(T),执行日(T+1),买入价(open×1.001),卖出日,卖出价(open×0.999),收益(卖/买-1),手续费,总净值,风控
SH510880,红利ETF华泰柏瑞,2018-12-17,2018-12-18,1.6216,2019-01-31,1.6444,1.40%,0.0120%,2.5599,SL=20%
SH512800,银行ETF,2019-01-30,2019-01-31,0.4765,2019-03-21,0.5225,9.65%,0.0120%,2.8067,SL=20%
SZ159928,消费ETF,2019-03-20,2019-03-21,0.6256,2019-05-08,0.6633,6.03%,0.0120%,2.9755,SL=20%
SH518880,黄金ETF,2019-05-07,2019-05-08,2.8008,2019-06-20,3.0469,8.79%,0.0120%,3.2366,SL=20%
SZ159920,恒生ETF,2019-06-19,2019-06-20,1.5175,2019-08-01,1.4995,-1.19%,0.0120%,3.1978,SL=20%
SH512980,传媒ETF,2019-07-31,2019-08-01,0.7207,2019-09-12,0.7992,10.89%,0.0120%,3.5456,SL=20%
SZ159930,能源ETF,2019-09-11,2019-09-12,0.7457,2019-11-01,0.6863,-7.97%,0.0120%,3.2627,SL=20%
SZ159941,纳指ETF,2019-10-31,2019-11-01,0.4535,2019-12-13,0.4735,4.43%,0.0120%,3.4067,SL=20%
SH512480,半导体ETF,2019-12-12,2019-12-13,0.7347,2020-02-04,0.8142,10.81%,0.0120%,3.7746,SL=20%
SH518880,黄金ETF,2020-02-03,2020-02-04,3.5125,2020-03-17,3.3117,-5.72%,0.0120%,3.5584,SL=20%
SH511880,银华日利ETF,2020-03-16,2020-03-17,90.3623,2020-04-29,90.3885,0.03%,0.0120%,3.559,SL=20%
SH512690,酒ETF,2020-04-28,2020-04-29,0.2452,2020-06-15,0.3407,38.91%,0.0120%,4.943,SL=20%
SH512170,医疗ETF,2020-06-12,2020-06-15,0.6076,2020-07-29,0.7173,18.05%,0.0120%,5.8346,SL=20%
SH518880,黄金ETF,2020-07-28,2020-07-29,4.2262,2020-09-09,4.0569,-4.01%,0.0120%,5.6002,SL=20%
SZ159985,豆粕ETF,2020-09-08,2020-09-09,1.0450,2020-10-29,1.1189,7.07%,0.0120%,5.9952,SL=20%
SH515030,新能源车ETF,2020-10-28,2020-10-29,1.2272,2020-12-10,1.3896,13.23%,0.0120%,6.7876,SL=20%
SH512690,酒ETF,2020-12-09,2020-12-10,0.8058,2021-01-22,0.9780,21.37%,0.0120%,8.2372,SL=20%
SH513050,中概互联网ETF易方达,2021-01-21,2021-01-22,2.3403,2021-03-12,2.2497,-3.87%,0.0120%,7.9174,SL=20%
SH513080,法国CAC40ETF,2021-03-11,2021-03-12,1.2352,2021-04-26,1.2338,-0.12%,0.0120%,7.9071,SL=20%
SH512690,酒ETF,2021-04-23,2021-04-26,0.9690,2021-06-10,1.0889,12.38%,0.0120%,8.8848,SL=20%
SH512480,半导体ETF,2021-06-09,2021-06-10,1.1221,2021-07-23,1.4086,25.53%,0.0120%,11.1517,SL=20%
SH516780,稀土ETF,2021-07-22,2021-07-23,1.2783,2021-09-03,1.5235,19.18%,0.0120%,13.2892,SL=20%
